iter	Passed	Remaining
401	380941	94761
402	381803	93792
403	382741	92843
404	383566	91866
405	384636	90948
406	385356	89948
407	386038	88940
408	386739	87938
409	387422	86933
410	388168	85944
411	388919	84958
412	389723	83983
413	390559	83017
414	391476	82068
415	392245	81089
416	392982	80104
417	394025	79182
418	394968	78239
419	395758	77267
420	396785	76341
421	397491	75353
422	398289	74385
423	399095	73418
424	399954	72462
425	400932	71527
426	401821	70577
427	402495	69590
428	403265	68620
429	404359	67706
430	405221	66753
431	406065	65797
432	406780	64821
433	407711	63881
434	408506	62919
435	409127	61932
436	409701	60939
437	410553	59989
438	411391	59038
439	412073	58064
440	412822	57102
441	413710	56159
442	414465	55199
443	415188	54236
444	416157	53305
445	416893	52345
446	417707	51395
447	418533	50448
448	419281	49492
449	420048	48538
450	420920	47598
451	421683	46646
452	422369	45686
453	423070	44729
454	423918	43789
455	424738	42846
456	425558	41904
457	426314	40955
458	427022	40004
459	428254	39101
460	429136	38166
461	430079	37236
462	430887	36295
463	431784	35361
464	432628	34424
2	539397
460	475498	538417
461	476281	537105
462	477054	535784
463	477999	534658
464	478680	533239
465	479727	532229
466	480787	531233
467	481554	529915
468	482293	528569
469	483027	527219
470	483983	526113
471	485011	525086
472	485907	523916
473	486711	522650
474	487790	521678
475	488342	520146
476	489253	518998
477	490286	517980
478	491144	516778
479	491932	515504
480	492587	514093
481	493634	513093
482	494262	511659
483	495168	510514
484	496011	509306
485	496554	507793
486	497580	506775
487	498523	505674
488	499393	504500
489	500117	503179
490	501105	502126
491	502064	501044
492	503065	500003
493	503881	498781
494	504900	497760
495	505958	496777
496	506788	495572
497	507747	494493
498	508796	493502
499	509545	492220
500	510240	490889
501	511076	489696
502	511847	488442
503	512519	487097
504	513475	486022
505	514149	484682
506	515071	483577
507	515978	482460
508	516785	481250
509	517641	480086
510	518485	478914
511	519521	477919
512	520253	476645
513	520951	475342
514	521958	474323
515	522871	473219
516	523841	472166
517	524821	471123
518	525865	470138
519	526914	469156
520	527831	468058
521	528864	467062
522	529743	465930
523	530660	464834
524	531473	463647
525	532422	462579
526	533438	461571
527	534404	460519
528	535240	459355
529	536020	458145
530	537006	457112
531	537899	456001
532	538864	454951
533	539739	453826
534	540777	452837
535	541593	451664
536	542573	450629
537	543502	449551
538	544591	448606
539	545330	447372
540	546163	446218
541	546844	444941
542	547947	444008
543	548702	442794
544	549619	441712
545	550454	440565
546	551233	439374
547	552222	438351
548	552924	437102
549	553583	435820
550	554403	434668
551	555312	433586
552	556186	432477
553	557158	431446
554	557854	430201
555	558710	429081
556	559363	427807
557	560199	426675
558	560851	425404
559	561937	424463
560	562588	423194
561	563574	422179
562	564568	421170
563	565325	419985
564	566253	418927
565	567456	418072
566	568504	417103
567	569313	415959
568	570083	414788
569	571021	413740
570	571877	412632
571	572835	411600
572	573389	410278
573	574322	409229
574	575047	408033
575	576144	407101
576	577020	406014
577	577735	404814
578	578473	403632
579	579334	402537
580	580235	401470
581	581101	400381
	424058
581	613799	422910
582	614624	421697
583	615362	420427
584	616475	419413
585	617309	418211
586	618151	417015
587	619338	416052
588	620213	414879
589	621310	413855
590	622013	412570
591	623044	411504
592	623960	410361
593	624901	409236
594	626038	408239
595	626813	407008
596	627864	405956
597	628713	404773
598	629624	403632
599	630612	402541
600	631373	401305
601	632315	400186
602	633341	399120
603	634192	397945
604	635255	396903
605	635947	395630
606	636779	394446
607	637507	393199
608	638366	392034
609	639303	390918
610	640248	389807
611	641017	388590
612	641836	387405
613	642823	386322
614	643690	385167
615	644666	384079
616	645564	382944
617	646510	381838
618	647539	380782
619	648262	379547
620	649274	378481
621	650198	377366
622	651153	376268
623	652270	375264
624	653162	374131
625	653946	372937
626	654942	371865
627	656081	370873
628	656812	369652
629	657856	368608
630	658740	367474
631	659688	366377
632	660715	365324
633	661759	364280
634	662492	363066
635	663495	362001
636	664289	360823
637	665113	359661
638	665984	358527
639	666914	357424
640	667994	356402
641	669273	355486
642	670170	354367
643	671122	353277
644	672133	352218
645	673436	351312
646	674336	350196
647	674994	348955
648	676217	348007
649	677245	346957
869
650	658636	335894
651	659451	334783
652	660450	333765
653	661337	332691
654	662059	331535
655	662684	330331
656	663486	329218
657	664046	327986
658	664901	326901
659	665878	325876
660	666462	324660
661	667392	323614
662	667809	322321
663	668565	321193
664	669437	320121
665	669875	318844
666	670964	317878
667	671917	316847
668	672823	315794
669	673588	314676
670	674728	313733
671	675610	312671
672	676644	311678
673	677543	310624
674	678521	309606
675	679441	308562
676	680143	307420
677	681123	306405
678	682268	305463
679	683143	304400
680	684346	303484
681	684836	302251
682	685855	301254
683	687113	300360
684	688279	299426
