iter	RMSE
0	2559.328689
1	2122.073249
2	1983.610309
3	1925.253703
4	1878.707316
5	1839.78926
6	1795.935542
7	1781.705972
8	1770.977506
9	1762.416003
10	1746.607806
11	1731.146437
12	1724.90065
13	1711.202363
14	1698.251111
15	1691.248752
16	1682.270735
17	1674.318741
18	1667.047092
19	1657.364214
20	1651.730715
21	1647.630402
22	1642.894222
23	1639.773202
24	1635.041199
25	1632.184959
26	1626.516526
27	1623.993402
28	1621.543359
29	1616.475859
30	1613.108476
31	1610.312722
32	1610.275548
33	1605.260043
34	1603.252255
35	1602.622262
36	1597.818456
37	1593.189573
38	1591.240248
39	1589.614489
40	1588.453395
41	1587.023746
42	1584.343744
43	1581.580143
44	1578.467699
45	1576.745573
46	1576.056994
47	1573.961248
48	1571.917273
49	1569.540707
50	1568.069911
51	1565.321735
52	1562.879604
53	1562.492187
54	1560.391991
55	1560.338292
56	1559.311236
57	1558.451181
58	1556.709169
59	1556.703088
60	1554.961663
61	1553.221484
62	1553.175419
63	1551.244033
64	1548.719596
65	1546.270799
66	1544.111351
67	1542.134747
68	1539.594398
69	1538.624138
70	1537.519628
71	1535.690694
72	1534.463376
73	1533.312523
74	1532.695604
75	1530.954742
76	1530.104651
77	1528.922097
78	1528.907408
79	1526.31151
80	1524.163969
81	1522.350164
82	1520.539929
83	1519.058047
84	1518.727156
85	1516.86986
86	1516.21065
87	1515.229296
88	1513.995873
89	1512.38476
90	1512.038072
91	1511.48488
92	1510.688861
93	1509.703461
94	1509.188448
95	1508.406489
96	1506.516224
97	1505.131801
98	1503.527351
99	1502.432146
100	1502.31795
101	1501.242644
102	1501.115654
103	1500.341508
104	1498.724437
105	1497.924503
106	1497.202246
107	1496.288279
108	1495.32359
109	1494.960377
110	1493.199953
111	1491.375501
112	1490.228441
113	1489.523203
114	1489.504233
115	1488.397794
116	1487.507185
117	1486.622201
118	1485.345783
119	1484.287693
120	1483.978486
121	1482.664915
122	1481.951594
123	1480.68013
124	1479.772252
125	1478.405307
126	1477.773886
127	1477.259238
128	1475.968698
129	1475.116949
130	1474.66149
131	1473.939858
132	1473.889554
133	1473.076536
134	1472.044758
135	1470.899912
136	1469.412694
137	1468.739815
138	1468.17291
139	1467.497649
140	1466.650311
141	1465.820952
142	1465.029591
143	1464.097395
144	1463.156816
145	1462.503991
146	1462.274361
147	1462.020829
148	1461.528827
