iter	RMSE
149	1461.099212
150	1459.98528
151	1459.822699
152	1459.787303
153	1458.87776
154	1457.051438
155	1456.235419
156	1455.271273
157	1454.076944
158	1453.533676
159	1452.40852
160	1451.949107
161	1451.523088
162	1450.399603
163	1450.183685
164	1449.561473
165	1449.0314
166	1448.677999
167	1448.317307
168	1448.166831
169	1447.606586
170	1446.842617
171	1446.356484
172	1445.358554
173	1445.057507
174	1444.467038
175	1443.038799
176	1442.478139
177	1441.832953
178	1441.681079
179	1441.068448
180	1440.176037
181	1439.663769
182	1438.548765
183	1437.768779
184	1437.738388
185	1437.102362
186	1436.683267
187	1436.249793
188	1435.638068
189	1434.944828
190	1434.691284
191	1434.362249
192	1433.691376
193	1433.146004
194	1432.314155
195	1431.72245
196	1430.75735
197	1429.628758
198	1428.356006
199	1427.625422
200	1427.348687
201	1427.067552
202	1426.590924
203	1425.422216
204	1424.747028
205	1424.198653
206	1423.877363
207	1423.52371
208	1423.072847
209	1422.067493
210	1421.461375
211	1421.372332
212	1420.900037
213	1420.690504
214	1419.878412
215	1419.260444
216	1418.466706
217	1417.766463
218	1417.197653
219	1416.487365
220	1416.024196
221	1415.45989
222	1414.839019
223	1414.42056
224	1413.960217
225	1413.55243
226	1412.951377
227	1412.745069
228	1412.737086
229	1412.181303
230	1411.168816
231	1410.240038
232	1409.906877
233	1408.70734
234	1407.985504
235	1407.577994
236	1407.523217
237	1406.740671
238	1405.877556
239	1405.284057
240	1404.698925
241	1404.323938
242	1403.614044
243	1402.455066
244	1402.000697
245	1401.655778
246	1400.848851
247	1400.352023
248	1399.611481
249	1399.449374
250	1399.131885
251	1399.093977
252	1398.304978
253	1397.630896
254	1397.176336
255	1397.058363
256	1396.84449
257	1395.830064
258	1395.510743
259	1395.149047
260	1394.915428
261	1394.799766
262	1393.828968
263	1393.260109
264	1392.712687
265	1392.227313
266	1392.040424
267	1391.785194
268	1391.316924
269	1390.75117
270	1389.787712
271	1389.715561
272	1388.619512
273	1388.288694
274	1387.600109
275	1387.594035
276	1387.50213
277	1386.88177
278	1386.189562
279	1385.622254
280	1385.467535
281	1385.055346
282	1384.55053
283	1383.518214
284	1383.428281
285	1382.473838
286	1381.92163
287	1381.531161
288	1380.713431
289	1380.52727
290	1380.051109
291	1379.146334
292	1378.668123
293	1378.169242
294	1377.438871
295	1377.204253
296	1377.070863
297	1376.559749
298	1376.261825
299	1375.740769
300	1375.214952
301	1374.881068
302	1374.451756
303	1374.386055
304	1373.636974
305	1373.244557
306	1372.731635
307	1372.3962
308	1371.744676
309	1371.605905
310	1370.905105
311	1370.633678
312	1369.961863
313	1369.823271
314	1369.655506
315	1369.339138
316	1369.093442
317	1368.605826
318	1368.064437
319	1367.727053
320	1367.156331
321	1366.984226
322	1366.547199
323	1365.890036
324	1365.213809
325	1364.668513
326	1364.551752
327	1363.990778
328	1363.531594
329	1363.494306
330	1363.055821
331	1362.821387
332	1362.529215
333	1362.284984
334	1362.138792
335	1361.865424
336	1361.416558
337	1360.602636
338	1360.125764
339	1359.876717
340	1359.632679
341	1359.250046
342	1358.769812
343	1358.173156
344	1358.052997
345	1357.508919
346	1356.885569
347	1356.861483
348	1355.901913
349	1355.658302
350	1355.611973
351	1355.504487
352	1354.848214
353	1354.501568
354	1354.103633
355	1353.889871
356	1353.862603
357	1353.48181
358	1353.152587
359	1352.727592
360	1351.931684
361	1351.720086
362	1351.122745
363	1350.987476
364	1350.781628
365	1350.329212
366	1349.359549
367	1349.047052
368	1348.566238
369	1348.344714
370	1348.137862
371	1347.589182
372	1347.123854
373	1347.089696
374	1346.512257
375	1346.067391
376	1345.662608
377	1345.410101
378	1345.004731
379	1344.810927
380	1344.283175
381	1343.971373
382	1342.951172
383	1342.365393
384	1342.231702
385	1341.756451
386	1341.358878
387	1341.021709
388	1340.680863
389	1340.387159
390	1340.042584
391	1339.557107
392	1339.445542
393	1339.215188
394	1339.0073
395	1338.887586
396	1338.073836
397	1337.543121
398	1336.993861
399	1336.628845
400	1336.392799
401	1336.179447
402	1335.866096
403	1335.599786
404	1335.298479
405	1335.159411
406	1334.601405
407	1334.57561
408	1334.353792
409	1334.135943
410	1333.814291
411	1333.482919
412	1332.969772
413	1332.453192
414	1332.004918
415	1331.257578
416	1330.210207
417	1329.930015
418	1329.870341
419	1329.646609
420	1329.140789
421	1328.662376
422	1328.38127
423	1328.129521
424	1328.087354
425	1327.427365
426	1327.360281
427	1327.165264
428	1327.004141
429	1326.787105
430	1326.479199
431	1326.453776
432	1326.428592
433	1326.404934
434	1326.166591
435	1325.835787
436	1325.584874
437	1325.552187
438	1325.490905
439	1325.380351
440	1325.020578
441	1324.499912
442	1323.937086
443	1323.39964
444	1323.109826
445	1322.622806
446	1322.147157
447	1321.957714
448	1321.778642
449	1321.766524
450	1321.629012
451	1321.344563
452	1320.985419
453	1320.661725
454	1320.41889
455	1320.106736
456	1319.750649
457	1319.552567
458	1319.399917
459	1318.974505
460	1318.562568
461	1318.394641
462	1317.790699
463	1317.379393
464	1317.114435
465	1316.805037
466	1316.333794
467	1315.872755
468	1315.722597
469	1315.402782
470	1314.536984
471	1314.299674
472	1314.129078
473	1313.290429
474	1313.070309
475	1312.617458
476	1311.783123
477	1311.564205
478	1311.207511
479	1310.785958
480	1310.299042
481	1310.035179
482	1309.657417
483	1309.388375
484	1308.730475
485	1308.420369
486	1308.248742
487	1308.15889
488	1307.882293
489	1307.420997
490	1307.129417
491	1306.696736
492	1306.230766
493	1305.993142
494	1305.988137
495	1305.764905
496	1305.737912
497	1305.615127
498	1305.248066
499	1305.036199
500	1304.705329
501	1304.48574
502	1304.325145
503	1303.706067
504	1303.511156
505	1303.149298
506	1302.777963
507	1302.676855
508	1302.382304
509	1302.118934
510	1301.986146
511	1301.581365
512	1301.213202
513	1300.380369
514	1300.073114
515	1299.587934
516	1299.29376
517	1298.855136
518	1298.698372
519	1298.434371
520	1298.260612
521	1297.760445
522	1297.650165
523	1297.45179
524	1297.035988
525	1296.392839
526	1296.251679
527	1295.985041
528	1295.750013
529	1295.640476
530	1295.537804
531	1295.310419
532	1295.29916
533	1294.958718
534	1294.784779
535	1294.525598
536	1294.354934
537	1294.228945
538	1293.99551
539	1293.693984
540	1293.495366
541	1293.290834
542	1292.741906
543	1292.684121
544	1292.389868
545	1292.129783
546	1291.954231
547	1291.640972
548	1291.098825
549	1290.703083
550	1290.596193
551	1290.535509
552	1290.316237
553	1289.919888
554	1289.3324
555	1288.894637
556	1288.725628
557	1288.594024
558	1288.549367
559	1288.20397
560	1288.016166
561	1287.783227
562	1287.773697
563	1287.576011
564	1286.943996
565	1286.759591
566	1286.582827
567	1286.530238
568	1286.229229
569	1285.785322
570	1285.324802
571	1284.818036
572	1284.622766
573	1284.268466
574	1284.046377
575	1283.970522
576	1283.902588
577	1283.687102
578	1283.270229
579	1282.876785
580	1282.738658
581	1282.485644
582	1282.16083
583	1281.84776
584	1281.689732
585	1281.510707
586	1281.303256
587	1281.241368
588	1281.063545
589	1280.731638
590	1280.431943
591	1280.141639
592	1279.609018
593	1279.394249
594	1279.379446
595	1279.303821
596	1278.895736
597	1278.701258
598	1278.493452
599	1278.307823
